ghnrs_j,z_ar025rpc
65.0,1297000.0
61.0,405000.0
53.0,197000.0
52.0,423000.0
62.0,193500.0
43.0,337000.0
45.0,370000.0
60.0,555000.0
58.0,490000.0
67.0,242000.0
61.0,665000.0
68.0,380000.0
50.0,600000.0
47.0,181000.0
70.0,720000.0
46.0,209998.0
37.0,140000.0
67.0,419000.0
62.0,280000.0
65.0,820000.0
62.0,507000.0
53.0,321000.0
44.0,176000.0
60.0,202000.0
61.0,195000.0
49.0,975000.0
49.0,968000.0
41.0,625000.0
59.0,528000.0
58.0,2850000.0
71.0,230000.0
54.0,112000.0
50.0,410000.0
68.0,620000.0
68.0,372000.0
31.0,735000.0
65.0,461000.0
56.0,427000.0
58.0,800000.0
57.0,130000.0
50.0,305000.0
75.0,370000.0
62.0,301000.0
51.0,210000.0
54.0,630000.0
73.0,685000.0
60.0,385000.0
51.0,800000.0
54.0,775000.0
64.0,262000.0
60.0,210000.0
39.0,352000.0
65.0,270000.0
73.0,101500.0
69.0,1284000.0
67.0,149998.0
50.0,1025000.0
50.0,550000.0
38.0,108000.0
53.0,805000.0
63.0,490000.0
48.0,180000.0
31.0,840000.0
69.0,285000.0
60.0,595000.0
45.0,345000.0
51.0,199998.0
66.0,275000.0
64.0,858500.0
53.0,135000.0
74.0,5850000.0
54.0,885000.0
55.0,85000.0
72.0,460000.0
68.0,799998.0
66.0,124000.0
64.0,31500.0
62.0,1775000.0
31.0,100000.0
55.0,831000.0
53.0,161000.0
65.0,299998.0
59.0,650000.0
52.0,1350000.0
64.0,550000.0
67.0,3855000.0
60.0,390000.0
51.0,280000.0
47.0,55000.0
53.0,291000.0
66.0,660000.0
53.0,275000.0
62.0,590000.0
51.0,2007000.0
51.0,300000.0
54.0,880000.0
67.0,1300000.0
40.0,501000.0
38.0,227000.0
35.0,29998.0
67.0,1170000.0
62.0,1085000.0
64.0,477000.0
64.0,90000.0
47.0,190000.0
34.0,322000.0
61.0,270000.0
45.0,370000.0
63.0,936000.0
71.0,790000.0
66.0,171000.0
65.0,29998.0
52.0,705000.0
72.0,670000.0
53.0,1820000.0
65.0,1260000.0
58.0,415000.0
26.0,100000.0
63.0,3525000.0
51.0,114000.0
61.0,410000.0
66.0,289000.0
58.0,1342500.0
74.0,10000000.0
46.0,185000.0
64.0,50000.0
38.0,179998.0
58.0,317000.0
72.0,700000.0
41.0,275000.0
55.0,733000.0
49.0,322000.0
73.0,179998.0
77.0,250000.0
45.0,535000.0
47.0,757000.0
70.0,99998.0
48.0,308000.0
70.0,2300000.0
71.0,310000.0
37.0,326000.0
66.0,1600000.0
70.0,800000.0
43.0,325000.0
49.0,265000.0
59.0,628000.0
37.0,180000.0
66.0,838000.0
45.0,2080000.0
57.0,310000.0
57.0,1125000.0
56.0,190000.0
56.0,253000.0
44.0,225000.0
49.0,150000.0
61.0,100000.0
66.0,299998.0
50.0,150000.0
56.0,107998.0
48.0,785000.0
50.0,140000.0
63.0,920000.0
62.0,2930000.0
55.0,915000.0
35.0,1715000.0
51.0,90000.0
64.0,515000.0
56.0,199998.0
53.0,480000.0
38.0,505000.0
67.0,799998.0
27.0,158000.0
40.0,1610000.0
48.0,1010000.0
64.0,920000.0
44.0,140000.0
63.0,86000.0
57.0,30000.0
50.0,274998.0
36.0,417000.0
49.0,1920000.0
62.0,1020000.0
55.0,200000.0
58.0,152000.0
64.0,310000.0
44.0,299998.0
41.0,400000.0
45.0,30000.0
48.0,1256000.0
77.0,325000.0
70.0,580000.0
70.0,348000.0
70.0,1810000.0
53.0,388000.0
54.0,388000.0
52.0,902000.0
40.0,482200.0
59.0,388000.0
62.0,1163000.0
54.0,115000.0
35.0,2610000.0
68.0,119000.0
53.0,705000.0
42.0,58200.0
56.0,143000.0
71.0,590000.0
76.0,2770000.0
41.0,100000.0
27.0,1810000.0
60.0,106000.0
72.0,535000.0
43.0,258000.0
56.0,190000.0
56.0,200000.0
54.0,575000.0
30.0,43000.0
69.0,95998.0
70.0,1960000.0
54.0,1250000.0
48.0,325000.0
67.0,230000.0
60.0,117500.0
42.0,550000.0
64.0,123000.0
52.0,316000.0
44.0,965000.0
63.0,1200000.0
48.0,875000.0
49.0,175000.0
58.0,410000.0
49.0,830000.0
50.0,671000.0
64.0,1100000.0
61.0,2470000.0
36.0,32000.0
64.0,935000.0
51.0,643000.0
65.0,940000.0
59.0,1350000.0
68.0,7500.0
80.0,330000.0
78.0,2020000.0
85.0,2106000.0
67.0,460000.0
53.0,275000.0
63.0,495000.0
44.0,157000.0
73.0,14998.0
51.0,100000.0
46.0,3105000.0
60.0,682000.0
41.0,575000.0
64.0,851000.0
57.0,1525000.0
55.0,494000.0
42.0,305000.0
65.0,200000.0
45.0,13000.0
41.0,448000.0
66.0,1290000.0
61.0,1000.0
54.0,260000.0
61.0,1670000.0
53.0,124998.0
70.0,277000.0
25.0,300000.0
63.0,3765000.0
61.0,1050000.0
32.0,228000.0
74.0,26900000.0
58.0,285000.0
62.0,90000.0
56.0,375000.0
62.0,1063000.0
35.0,1140000.0
63.0,390000.0
71.0,485000.0
60.0,800000.0
67.0,394000.0
44.0,307000.0
49.0,215000.0
47.0,350000.0
69.0,1199998.0
48.0,930000.0
61.0,290000.0
65.0,275000.0
61.0,217350.0
74.0,2650000.0
58.0,140500.0
51.0,90500.0
80.0,2970000.0
57.0,1009000.0
62.0,989998.0
57.0,163500.0
57.0,805500.0
31.0,199998.0
46.0,229998.0
61.0,925000.0
68.0,5000.0
69.0,1250000.0
50.0,110000.0
70.0,320000.0
62.0,109998.0
55.0,1275000.0
65.0,320000.0
56.0,475000.0
53.0,300000.0
75.0,144998.0
55.0,220500.0
25.0,106000.0
52.0,140000.0
57.0,439000.0
39.0,100000.0
54.0,304998.0
74.0,5500000.0
59.0,1500000.0
63.0,430000.0
52.0,195000.0
49.0,190000.0
46.0,500000.0
60.0,475000.0
75.0,1220000.0
58.0,142000.0
59.0,641000.0
58.0,330000.0
69.0,349998.0
57.0,2310000.0
57.0,262000.0
45.0,132000.0
71.0,265000.0
55.0,3340000.0
50.0,150000.0
55.0,361000.0
71.0,536000.0
56.0,439000.0
45.0,65000.0
47.0,423000.0
63.0,1480000.0
65.0,650000.0
61.0,480000.0
51.0,607500.0
81.0,179998.0
74.0,350000.0
41.0,200000.0
61.0,552000.0
49.0,150000.0
53.0,275000.0
72.0,605000.0
56.0,1542000.0
67.0,5100000.0
60.0,1365000.0
69.0,1000000.0
70.0,244000.0
50.0,270000.0
67.0,351000.0
62.0,1101200.0
54.0,740000.0
67.0,490000.0
77.0,6245000.0
57.0,2676000.0
66.0,29998.0
50.0,47000.0
68.0,900000.0
55.0,766000.0
50.0,484000.0
48.0,1800000.0
69.0,469000.0
54.0,400000.0
64.0,1870000.0
54.0,245000.0
39.0,230000.0
55.0,278000.0
49.0,261000.0
66.0,199998.0
28.0,1045000.0
73.0,5030000.0
64.0,5710000.0
60.0,305000.0
46.0,260000.0
65.0,910000.0
71.0,252000.0
59.0,315000.0
71.0,16500000.0
68.0,1200000.0
48.0,770000.0
76.0,220000.0
75.0,990000.0
65.0,300000.0
52.0,745000.0
57.0,1275000.0
61.0,430000.0
42.0,1300000.0
63.0,280000.0
69.0,200000.0
55.0,2320000.0
58.0,697000.0
55.0,586000.0
74.0,1990000.0
70.0,229998.0
49.0,160000.0
68.0,640000.0
49.0,870000.0
53.0,777000.0
53.0,200000.0
68.0,740000.0
46.0,180000.0
39.0,133000.0
31.0,728400.0
59.0,360000.0
59.0,375000.0
52.0,84998.0
76.0,1550000.0
55.0,242000.0
69.0,258000.0
61.0,1470000.0
47.0,1273000.0
57.0,200000.0
46.0,445000.0
69.0,1500000.0
36.0,322000.0
73.0,950000.0
64.0,178000.0
54.0,129000.0
59.0,775000.0
41.0,502000.0
61.0,124998.0
59.0,675000.0
69.0,1760000.0
47.0,165000.0
71.0,159998.0
41.0,16000.0
58.0,3787000.0
55.0,270000.0
56.0,405000.0
45.0,475000.0
50.0,700000.0
59.0,168786.0
52.0,96500.0
59.0,793000.0
64.0,24998.0
61.0,315000.0
55.0,2600000.0
71.0,33000000.0
39.0,119998.0
73.0,2100000.0
40.0,1742000.0
48.0,240000.0
63.0,360000.0
53.0,830000.0
74.0,960000.0
68.0,642000.0
45.0,274998.0
65.0,640000.0
54.0,150000.0
50.0,1204000.0
47.0,125000.0
75.0,349998.0
68.0,960000.0
63.0,5230000.0
57.0,640000.0
46.0,342000.0
59.0,41000.0
65.0,2000.0
64.0,900000.0
69.0,129998.0
47.0,216000.0
50.0,75000.0
61.0,400000.0
54.0,75000.0
66.0,170000.0
80.0,819000.0
61.0,180000.0
45.0,481000.0
43.0,420000.0
59.0,615000.0
46.0,465000.0
52.0,244000.0
68.0,457500.0
59.0,301000.0
49.0,790000.0
62.0,360000.0
79.0,3600000.0
44.0,170000.0
45.0,287500.0
73.0,5400000.0
25.0,125000.0
50.0,720000.0
56.0,550000.0
58.0,275000.0
54.0,260000.0
62.0,7300000.0
48.0,190000.0
53.0,760000.0
72.0,691000.0
63.0,2500000.0
48.0,300000.0
51.0,159998.0
63.0,42000.0
48.0,270000.0
62.0,149998.0
