DATE,ISBN,Title,Weekly Sales,Weekly Average Rank
5/5/01,1565925823,"X Toolkit Intrinsics Programming Manual for X11, Release 5 (Definitive Guides to the X Window System, Vol 4)",5,67422
5/5/01,1565920740,Java Distributed Computing (O'Reilly Java),4,67441
5/5/01,1565927117,Checking C Programs With Lint (Nutshell Handbooks for C Program),7,67446
5/5/01,1565924932,Checking C Programs With Lint (Nutshell Handbooks for C Program),1,67479
5/5/01,1565925173,Applying Rcs and Sccs : From Source Control to Project Control (Nutshell Handbook),1,67823
5/5/01,1565925009,Managing Ip Networks With Cisco Routers,4,68112
5/5/01,1565925238,Outlook Annoyances,1,68751
5/5/01,596000995,Programming With Qt,1,68867
5/5/01,1565924029,Xlib Reference Manual/Release 4 and Release 5,5,69205
5/5/01,1565924843,"MCSE : The Core Exams in a Nutshell, 2nd Ed.",2,69661
5/5/01,596000472,"MCSE : The Core Exams in a Nutshell, 2nd Ed.",2,69706
5/5/01,1565926706,"MCSE : The Core Exams in a Nutshell, 2nd Ed.",4,69716
5/5/01,1565925807,Inside the Windows 95 File System (Nutshell Handbook),1,70864
5/5/01,1565927141,Oracle Web Applications : Pl/Sql Developer's Introduction,4,71463
5/5/01,1565921046,Applying Rcs and Sccs : From Source Control to Project Control (Nutshell Handbook),3,71543
5/5/01,1565926315,Photoshop in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),1,71840
5/5/01,1565922891,Unix Systems Programming for Svr4 (Nutshell Handbook),4,72069
5/5/01,1565921151,"Virtual Private Networks, 2nd Edition (O'Reilly Nutshell)",5,72100
5/5/01,1565924487,Xlib Reference Manual/Release 4 and Release 5,2,72271
5/5/01,1565922786,Porting Unix Software : From Download to Debug (Nutshell Handbook),2,72421
5/5/01,156592259X,MP3: The Definitive Guide,2,72902
5/5/01,1565928490,Inside the Windows 95 File System (Nutshell Handbook),1,73855
5/5/01,1565926218,Software Portability With Imake (Nutshell Handbook),4,73869
5/5/01,1565921232,Motif Reference Manual for Motif 2.1,4,74666
5/5/01,1565927257,Oracle Parallel Processing,2,74672
5/5/01,1565920163,Applying Rcs and Sccs : From Source Control to Project Control (Nutshell Handbook),1,74951
5/5/01,1565926730,"Optimizing Windows for Games, Graphics and Multimedia",3,75294
5/5/01,1565922379,Porting Unix Software : From Download to Debug (Nutshell Handbook),3,75434
5/5/01,1565927591,MCSE The Core Exams In a Nutshell,2,75471
5/5/01,1565923006,Unix Systems Programming for Svr4 (Nutshell Handbook),1,75669
5/5/01,1565926374,Stopping Spam,2,75687
5/5/01,156592438X,Motif Reference Manual for Motif 2.1,2,75742
5/5/01,1565922492,Windows NT Event Logging (O'Reilly Nutshell),2,76218
5/5/01,1565923758,Oracle Distributed Systems,3,76265
5/5/01,156592312X,"Cracking DES: Secrets of Encryption Research, Wiretap Politics & Chip Design",5,76479
5/5/01,1565922514,Building Linux Clusters,4,76548
5/5/01,1565922182,Getting Connected : The Internet at 56K and Up (Nutshell Handbook),1,76562
5/5/01,937175838,X Toolkit Intrinsics Reference Manual for Version 11 of the Window System (Definitive Guides to the X Window System),2,77543
5/5/01,1565926765,Childhood Cancer: A Parent's Guide to Solid Tumor Cancers,2,78263
5/5/01,1565923014,Director in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),4,79377
5/5/01,1565924789,Xlib Reference Manual/Release 4 and Release 5,2,80868
5/5/01,1565920074,Smileys,4,81083
5/5/01,1565924568,Learning Dcom,3,81099
5/5/01,1565926412,Managing Usenet,2,81118
5/5/01,1565924983,Oracle Distributed Systems,4,82182
5/5/01,1565923200,X Window System User's Guide/Osf/Motif 1.2 Edition,1,82321
5/5/01,1565926544,Managing Usenet,1,82694
5/5/01,1565922387,Getting Connected : The Internet at 56K and Up (Nutshell Handbook),2,83089
5/5/01,1565924460,MCSE The Core Exams In a Nutshell,2,83161
5/5/01,596001312,MCSE The Core Exams In a Nutshell,3,83631
5/5/01,1565924339,Windows Nt User Administration,1,83644
5/5/01,1565926617,Managing Windows NT Registry,2,84072
5/5/01,1565927192,Linux Multimedia Guide,1,84551
5/5/01,937175773,"X Protocol Reference Manual : Volume Zero for X11, Release 6 (Definitive Guide to X",2,85118
5/5/01,1565922069,Outlook Annoyances,4,85604
5/5/01,156592701X,Getting Connected : The Internet at 56K and Up (Nutshell Handbook),2,85836
5/5/01,1565920023,X Window System User's Guide/Osf/Motif 1.2 Edition,2,86375
5/5/01,1565920414,X Window System User's Guide/Osf/Motif 1.2 Edition,3,86512
5/5/01,596000383,Making Informed Medical Decisions: Where to Look and How to Use What You Find,2,86572
5/5/01,1565928598,"X Toolkit Intrinsics Programming Manual for X11, Release 5 (Definitive Guides to the X Window System, Vol 4)",1,86642
5/5/01,1565923618,Stopping Spam,1,86825
5/5/01,1565924509,Understanding Dce (Nutshell Handbook),1,87593
5/5/01,1565920066,Limited Edition Java Library Set (4-Volume Set),1,87632
5/5/01,1565927311,Checking C Programs With Lint (Nutshell Handbooks for C Program),2,88162
5/5/01,1565926250,Smileys,1,89233
5/5/01,1565923847,Programming With Curses (A Nutshell Handbook),1,89474
5/5/01,1565925882,Unix Systems Programming for Svr4 (Nutshell Handbook),3,89617
5/5/01,1565927214,"X Protocol Reference Manual : Volume Zero for X11, Release 6 (Definitive Guide to X",2,94432
5/5/01,1565921631,termcap & terminfo (O'Reilly Nutshell),1,95391
5/5/01,1199000647,termcap & terminfo (O'Reilly Nutshell),2,95484
5/5/01,1565924320,Using and Managing Ppp,1,96428
5/5/01,1565925297,Oracle Parallel Processing,5,98587
5/5/01,1565920139,Writing GNU Emacs Extensions: Editor Customizations and Creations with Lisp (O'Reilly Nutshell),1,98862
5/5/01,1565926870,Mac OS in a Nutshell: A Desktop Quick Reference (O'Reilly),1,99891
5/5/01,156592200X,Mac OS in a Nutshell: A Desktop Quick Reference (O'Reilly),1,100200
5/5/01,1565925149,Mac OS in a Nutshell: A Desktop Quick Reference (O'Reilly),1,103219
5/5/01,156592388X,Life on Wheels: For the Active Wheelchair User,2,121511
5/5/01,1565921178,Choosing a Wheelchair: A Guide for Optimal Independence,3,125828
5/5/01,1565920988,DAO Object Model: The Definitive Guide,1,144825
5/5/01,1565925203,DAO Object Model: The Definitive Guide,1,145133
5/5/01,1565925815,Autocad 2000 in a Nutshell : A Command Reference Guide,1,158593
5/5/01,1565923782,Working With Your Doctor : Getting the Healthcare You Deserve (Patient-Centered Guides),2,158983
5/5/01,1565921542,Autocad 2000 in a Nutshell : A Command Reference Guide,1,163885
5/5/01,1565925653,Organ Transplants: Making the Most of Your Gift of Life,4,166124
5/5/01,1565922263,JAVA in a Nutshell - A Desktop Quick Reference,2,186277
5/5/01,059600107X,JAVA in a Nutshell - A Desktop Quick Reference,1,191318
5/5/01,1565920155,Running LINUX,1,202751
5/5/01,937175021,PalmPilot: The Ultimate Guide (First Edition),2,224052
5/5/01,937175307,PalmPilot: The Ultimate Guide (First Edition),1,228921
5/5/01,156592083X,Perl Resource Kit,1,246329
5/5/01,1565925335,Perl Resource Kit,1,246850
5/5/01,1565926900,Samba Pocket Reference,8,301057
5/5/01,119900040X,The Insider's Guide to America Online,1,530826
5/5/01,1199000531,The Insider's Guide to America Online,1,536329
5/5/01,119900037X,Limited Edition Java Library Set (4-Volume Set),4,794399
4/21/01,'0596000995,Limited Edition Java Library Set (4-Volume Set),3,961367
