DATE,ISBN,Title,Weekly Sales,Weekly Average Rank
4/21/01,'1565929438,Sql in a Nutshell : A Desktop Quick Reference,54,3700
4/21/01,'1565921399,vi Editor Pocket Reference (O'Reilly Nutshell),37,3715
4/21/01,'156592116X,Windows 98 Annoyances (with CDROM),51,3717
4/21/01,'1565924622,vi Editor Pocket Reference (O'Reilly Nutshell),23,3718
4/21/01,'1565927532,Windows 2000 Administration in a Nutshell : A Desktop Quick Reference,21,3746
4/21/01,'1565923774,Java Message Service (O'Reilly Java Series),41,3753
4/21/01,'156592861X,PalmPilot: The Ultimate Guide (2nd Edition),24,3795
4/21/01,'1565922247,Learning the vi Editor (6th Edition),30,3897
4/21/01,'1565921127,Windows 2000 Commands Pocket Reference,40,3905
4/21/01,'1565924533,PalmPilot: The Ultimate Guide (2nd Edition),25,3912
4/21/01,'1565926323,Using Samba (O'Reilly System Administration),36,3959
4/21/01,'1565923243,UNIX Power Tools,32,3964
4/21/01,'1565924797,sed & awk (2nd Edition),32,3964
4/21/01,'1565925165,Cvs Pocket Reference,51,3970
4/21/01,'1565924029,MCSD in a Nutshell: The Visual Basic Exams (VBS Exams 70-175 and 70-176),38,4011
4/21/01,'156592522X,Windows Me Annoyances,55,4017
4/21/01,'1565927583,Vbscript in a Nutshell : A Desktop Quick Reference,41,4019
4/21/01,'156592259X,Windows Me Annoyances,30,4025
4/21/01,'1565925807,Sql in a Nutshell : A Desktop Quick Reference,21,4053
4/21/01,'0937175307,Java Network Programming,31,4073
4/21/01,'1565923847,Tcp/Ip Network Administration,36,4082
4/21/01,'1565923065,Learning Python (Help for Programmers),42,4086
4/21/01,'1565923987,Essential System Administration (Nutshell Handbook),20,4092
4/21/01,'1565924444,"Database Programming with JDBC and Java, 2nd Edition",35,4097
4/21/01,'1565926706,Building Oracle XML Applications,25,4115
4/21/01,'1565922379,Oracle Pl/Sql Programming,35,4146
4/21/01,'1565928490,Windows 98 Annoyances (with CDROM),35,4146
4/21/01,'1565926315,Learning the vi Editor (6th Edition),40,4177
4/21/01,'1565921151,Using Samba (O'Reilly System Administration),20,4180
4/21/01,'1565926749,Unix for Oracle DBAs Pocket Reference,31,4220
4/21/01,'1565920163,Java Network Programming,23,4241
4/21/01,'1565927591,Java Internationalization,28,4253
4/21/01,'1565922867,Vbscript in a Nutshell : A Desktop Quick Reference,27,4257
